"mentor_id","cnt","month","rank","name"
2192,11,2022-08-01,1,Машинное обучение
1903,9,2022-08-01,2,DS
328,9,2022-08-01,2,SQL
4256,8,2022-08-01,3,Python для аналитики данных
4015,8,2022-08-01,3,SQL
4798,8,2022-08-01,3,SQL
4441,8,2022-08-01,3,DS
2850,8,2022-08-01,3,Python для аналитики данных
1856,7,2022-08-01,4,Продуктовая аналитика
3855,7,2022-08-01,4,DS
3101,7,2022-08-01,4,Машинное обучение
2641,6,2022-08-01,5,Визуализация данных
1357,6,2022-08-01,5,Визуализация данных
2089,6,2022-08-01,5,Машинное обучение
3717,6,2022-08-01,5,Python для аналитики данных
3615,6,2022-08-01,5,Python для аналитики данных
4585,6,2022-08-01,5,SQL
4003,6,2022-08-01,5,SQL
1552,6,2022-08-01,5,DS
3213,6,2022-08-01,5,Визуализация данных
