"session_id","session_date_time","session_status","mentor_domain_id","domain_name","mentor_id","mentor_role","mentor_reg_date","mentor_region_id","mentor_region_name","mentee_id","mentee_role","mentee_reg_date","mentee_region_id","mentee_region_name"
1,2021-02-12 00:00:00.000,finished,5,Python для аналитики данных,3576,mentor,2021-01-12 00:00:00.000,3,Ростовская обл,1329,mentee,2021-02-05 00:00:00.000,3,Ростовская обл
2,2021-02-17 00:00:00.000,finished,7,SQL,1228,mentor,2021-01-31 00:00:00.000,6,Московская обл,3561,mentee,2021-02-02 00:00:00.000,4,Краснодарский край
3,2021-02-19 00:00:00.000,finished,5,Python для аналитики данных,4259,mentor,2021-01-21 00:00:00.000,1,г Москва,3939,mentee,2021-02-08 00:00:00.000,2,г Санкт-Петербург
9,2021-03-06 00:00:00.000,finished,2,AB тестирование,4838,mentor,2021-02-15 00:00:00.000,5,Ленинградская обл,3311,mentee,2021-01-29 00:00:00.000,0,Другое
12,2021-03-27 00:00:00.000,finished,4,DS,4221,mentor,2021-01-27 00:00:00.000,1,г Москва,1699,mentee,2021-02-03 00:00:00.000,1,г Москва
15,2021-03-31 00:00:00.000,finished,6,Машинное обучение,560,mentor,2021-02-13 00:00:00.000,1,г Москва,3074,mentee,2021-03-09 00:00:00.000,4,Краснодарский край
18,2021-04-10 00:00:00.000,canceled,6,Машинное обучение,4863,mentor,2021-03-05 00:00:00.000,2,г Санкт-Петербург,3902,mentee,2021-03-08 00:00:00.000,9,Омская обл
20,2021-04-12 00:00:00.000,finished,3,Визуализация данных,2262,mentor,2021-03-25 00:00:00.000,9,Омская обл,1652,mentee,2021-02-12 00:00:00.000,3,Ростовская обл
22,2021-04-15 00:00:00.000,finished,6,Машинное обучение,3886,mentor,2021-01-03 00:00:00.000,3,Ростовская обл,3323,mentee,2021-03-31 00:00:00.000,1,г Москва
23,2021-04-15 00:00:00.000,finished,2,AB тестирование,508,mentor,2021-03-16 00:00:00.000,4,Краснодарский край,2597,mentee,2021-04-08 00:00:00.000,5,Ленинградская обл
25,2021-04-18 00:00:00.000,finished,2,AB тестирование,2494,mentor,2021-04-01 00:00:00.000,5,Ленинградская обл,3107,mentee,2021-03-10 00:00:00.000,2,г Санкт-Петербург
27,2021-04-19 00:00:00.000,canceled,7,SQL,1563,mentor,2021-04-17 00:00:00.000,1,г Москва,4024,mentee,2021-03-01 00:00:00.000,1,г Москва
28,2021-04-22 00:00:00.000,finished,6,Машинное обучение,4843,mentor,2021-04-18 00:00:00.000,4,Краснодарский край,3167,mentee,2021-04-08 00:00:00.000,4,Краснодарский край
31,2021-05-01 00:00:00.000,finished,3,Визуализация данных,4412,mentor,2021-04-19 00:00:00.000,1,г Москва,4700,mentee,2021-04-24 00:00:00.000,1,г Москва
32,2021-05-02 00:00:00.000,finished,6,Машинное обучение,3227,mentor,2021-04-11 00:00:00.000,8,Новосибирская обл,3142,mentee,2021-03-01 00:00:00.000,1,г Москва
33,2021-05-07 00:00:00.000,canceled,1,Продуктовая аналитика,2480,mentor,2021-02-28 00:00:00.000,2,г Санкт-Петербург,4024,mentee,2021-03-01 00:00:00.000,1,г Москва
34,2021-05-09 00:00:00.000,canceled,1,Продуктовая аналитика,2480,mentor,2021-02-28 00:00:00.000,2,г Санкт-Петербург,2482,mentee,2021-01-30 00:00:00.000,7,Нижегородская обл
37,2021-05-12 00:00:00.000,finished,1,Продуктовая аналитика,3724,mentor,2021-03-05 00:00:00.000,1,г Москва,3057,mentee,2021-05-10 00:00:00.000,1,г Москва
38,2021-05-14 00:00:00.000,finished,7,SQL,830,mentor,2021-03-25 00:00:00.000,2,г Санкт-Петербург,422,mentee,2021-02-01 00:00:00.000,1,г Москва
39,2021-05-14 00:00:00.000,finished,4,DS,961,mentor,2021-04-28 00:00:00.000,1,г Москва,1965,mentee,2021-03-19 00:00:00.000,1,г Москва
40,2021-05-14 00:00:00.000,canceled,4,DS,1544,mentor,2021-02-14 00:00:00.000,1,г Москва,974,mentee,2021-04-08 00:00:00.000,1,г Москва
42,2021-05-15 00:00:00.000,finished,5,Python для аналитики данных,3576,mentor,2021-01-12 00:00:00.000,3,Ростовская обл,2197,mentee,2021-05-04 00:00:00.000,4,Краснодарский край
43,2021-05-16 00:00:00.000,canceled,5,Python для аналитики данных,1251,mentor,2021-02-01 00:00:00.000,4,Краснодарский край,3456,mentee,2021-02-23 00:00:00.000,11,Архангельская обл
44,2021-05-17 00:00:00.000,finished,1,Продуктовая аналитика,513,mentor,2021-02-25 00:00:00.000,1,г Москва,4562,mentee,2021-01-23 00:00:00.000,8,Новосибирская обл
45,2021-05-18 00:00:00.000,finished,2,AB тестирование,508,mentor,2021-03-16 00:00:00.000,4,Краснодарский край,163,mentee,2021-03-19 00:00:00.000,6,Московская обл
46,2021-05-19 00:00:00.000,finished,2,AB тестирование,2842,mentor,2021-04-06 00:00:00.000,3,Ростовская обл,4130,mentee,2021-05-15 00:00:00.000,2,г Санкт-Петербург
48,2021-05-24 00:00:00.000,finished,2,AB тестирование,4625,mentor,2021-02-03 00:00:00.000,1,г Москва,1574,mentee,2021-04-24 00:00:00.000,1,г Москва
49,2021-05-25 00:00:00.000,finished,7,SQL,3868,mentor,2021-05-21 00:00:00.000,5,Ленинградская обл,2362,mentee,2021-04-02 00:00:00.000,1,г Москва
50,2021-05-26 00:00:00.000,finished,7,SQL,428,mentor,2021-04-14 00:00:00.000,1,г Москва,4139,mentee,2021-03-28 00:00:00.000,1,г Москва
51,2021-05-26 00:00:00.000,finished,6,Машинное обучение,3407,mentor,2021-03-21 00:00:00.000,6,Московская обл,2694,mentee,2021-03-16 00:00:00.000,8,Новосибирская обл
54,2021-05-30 00:00:00.000,finished,1,Продуктовая аналитика,3363,mentor,2021-04-15 00:00:00.000,2,г Санкт-Петербург,1904,mentee,2021-03-16 00:00:00.000,1,г Москва
55,2021-05-31 00:00:00.000,finished,4,DS,1492,mentor,2021-05-11 00:00:00.000,1,г Москва,1066,mentee,2021-03-05 00:00:00.000,2,г Санкт-Петербург
58,2021-06-01 00:00:00.000,finished,7,SQL,56,mentor,2021-01-13 00:00:00.000,2,г Санкт-Петербург,958,mentee,2021-05-04 00:00:00.000,1,г Москва
59,2021-06-02 00:00:00.000,canceled,2,AB тестирование,2881,mentor,2021-02-13 00:00:00.000,1,г Москва,364,mentee,2021-02-26 00:00:00.000,4,Краснодарский край
60,2021-06-02 00:00:00.000,finished,6,Машинное обучение,1725,mentor,2021-05-07 00:00:00.000,1,г Москва,591,mentee,2021-05-07 00:00:00.000,1,г Москва
61,2021-06-03 00:00:00.000,canceled,3,Визуализация данных,3350,mentor,2021-01-12 00:00:00.000,2,г Санкт-Петербург,436,mentee,2021-04-24 00:00:00.000,1,г Москва
64,2021-06-04 00:00:00.000,finished,6,Машинное обучение,2824,mentor,2021-01-29 00:00:00.000,1,г Москва,3699,mentee,2021-01-06 00:00:00.000,1,г Москва
65,2021-06-06 00:00:00.000,finished,4,DS,3749,mentor,2021-04-18 00:00:00.000,1,г Москва,1649,mentee,2021-04-05 00:00:00.000,2,г Санкт-Петербург
66,2021-06-07 00:00:00.000,finished,7,SQL,4005,mentor,2021-01-21 00:00:00.000,3,Ростовская обл,2197,mentee,2021-05-04 00:00:00.000,4,Краснодарский край
67,2021-06-08 00:00:00.000,finished,4,DS,3547,mentor,2021-02-12 00:00:00.000,3,Ростовская обл,3921,mentee,2021-04-09 00:00:00.000,1,г Москва
68,2021-06-09 00:00:00.000,finished,6,Машинное обучение,1725,mentor,2021-05-07 00:00:00.000,1,г Москва,1489,mentee,2021-05-11 00:00:00.000,1,г Москва
69,2021-06-10 00:00:00.000,canceled,3,Визуализация данных,1384,mentor,2021-01-24 00:00:00.000,0,Другое,1081,mentee,2021-01-31 00:00:00.000,7,Нижегородская обл
74,2021-06-13 00:00:00.000,finished,7,SQL,166,mentor,2021-02-18 00:00:00.000,1,г Москва,3917,mentee,2021-03-22 00:00:00.000,5,Ленинградская обл
76,2021-06-15 00:00:00.000,finished,6,Машинное обучение,3407,mentor,2021-03-21 00:00:00.000,6,Московская обл,1355,mentee,2021-01-31 00:00:00.000,1,г Москва
77,2021-06-15 00:00:00.000,finished,5,Python для аналитики данных,371,mentor,2021-02-09 00:00:00.000,4,Краснодарский край,3426,mentee,2021-04-10 00:00:00.000,0,Другое
78,2021-06-17 00:00:00.000,finished,3,Визуализация данных,3350,mentor,2021-01-12 00:00:00.000,2,г Санкт-Петербург,790,mentee,2021-05-19 00:00:00.000,6,Московская обл
79,2021-06-18 00:00:00.000,finished,7,SQL,56,mentor,2021-01-13 00:00:00.000,2,г Санкт-Петербург,3658,mentee,2021-04-23 00:00:00.000,3,Ростовская обл
81,2021-06-19 00:00:00.000,finished,3,Визуализация данных,2269,mentor,2021-03-31 00:00:00.000,4,Краснодарский край,3128,mentee,2021-01-26 00:00:00.000,1,г Москва
83,2021-06-19 00:00:00.000,finished,1,Продуктовая аналитика,2480,mentor,2021-02-28 00:00:00.000,2,г Санкт-Петербург,673,mentee,2021-01-28 00:00:00.000,4,Краснодарский край
84,2021-06-20 00:00:00.000,finished,3,Визуализация данных,1483,mentor,2021-02-24 00:00:00.000,1,г Москва,1358,mentee,2021-04-18 00:00:00.000,1,г Москва
86,2021-06-23 00:00:00.000,finished,1,Продуктовая аналитика,4595,mentor,2021-02-20 00:00:00.000,1,г Москва,1202,mentee,2021-05-17 00:00:00.000,6,Московская обл
88,2021-06-25 00:00:00.000,finished,2,AB тестирование,985,mentor,2021-06-20 00:00:00.000,8,Новосибирская обл,832,mentee,2021-05-08 00:00:00.000,0,Другое
89,2021-06-26 00:00:00.000,finished,2,AB тестирование,3580,mentor,2021-05-19 00:00:00.000,2,г Санкт-Петербург,1709,mentee,2021-06-20 00:00:00.000,11,Архангельская обл
