"session_id","session_date_time","mentor_id","mentee_id","session_status","mentor_domain_id","user_id"
1,2021-02-12 00:00:00.000,3576,1329,finished,5,
2,2021-02-17 00:00:00.000,1228,3561,finished,7,
3,2021-02-19 00:00:00.000,4259,3939,finished,5,
9,2021-03-06 00:00:00.000,4838,3311,finished,2,
12,2021-03-27 00:00:00.000,4221,1699,finished,4,
15,2021-03-31 00:00:00.000,560,3074,finished,6,
18,2021-04-10 00:00:00.000,4863,3902,canceled,6,
20,2021-04-12 00:00:00.000,2262,1652,finished,3,
22,2021-04-15 00:00:00.000,3886,3323,finished,6,
23,2021-04-15 00:00:00.000,508,2597,finished,2,
25,2021-04-18 00:00:00.000,2494,3107,finished,2,
27,2021-04-19 00:00:00.000,1563,4024,canceled,7,
28,2021-04-22 00:00:00.000,4843,3167,finished,6,
31,2021-05-01 00:00:00.000,4412,4700,finished,3,
32,2021-05-02 00:00:00.000,3227,3142,finished,6,
33,2021-05-07 00:00:00.000,2480,4024,canceled,1,
34,2021-05-09 00:00:00.000,2480,2482,canceled,1,
37,2021-05-12 00:00:00.000,3724,3057,finished,1,
38,2021-05-14 00:00:00.000,830,422,finished,7,
39,2021-05-14 00:00:00.000,961,1965,finished,4,
40,2021-05-14 00:00:00.000,1544,974,canceled,4,
42,2021-05-15 00:00:00.000,3576,2197,finished,5,
43,2021-05-16 00:00:00.000,1251,3456,canceled,5,
44,2021-05-17 00:00:00.000,513,4562,finished,1,
45,2021-05-18 00:00:00.000,508,163,finished,2,
46,2021-05-19 00:00:00.000,2842,4130,finished,2,
48,2021-05-24 00:00:00.000,4625,1574,finished,2,
49,2021-05-25 00:00:00.000,3868,2362,finished,7,
50,2021-05-26 00:00:00.000,428,4139,finished,7,
51,2021-05-26 00:00:00.000,3407,2694,finished,6,
54,2021-05-30 00:00:00.000,3363,1904,finished,1,
55,2021-05-31 00:00:00.000,1492,1066,finished,4,
58,2021-06-01 00:00:00.000,56,958,finished,7,
59,2021-06-02 00:00:00.000,2881,364,canceled,2,
60,2021-06-02 00:00:00.000,1725,591,finished,6,
61,2021-06-03 00:00:00.000,3350,436,canceled,3,
64,2021-06-04 00:00:00.000,2824,3699,finished,6,
65,2021-06-06 00:00:00.000,3749,1649,finished,4,
66,2021-06-07 00:00:00.000,4005,2197,finished,7,
67,2021-06-08 00:00:00.000,3547,3921,finished,4,
68,2021-06-09 00:00:00.000,1725,1489,finished,6,
69,2021-06-10 00:00:00.000,1384,1081,canceled,3,
74,2021-06-13 00:00:00.000,166,3917,finished,7,
76,2021-06-15 00:00:00.000,3407,1355,finished,6,
77,2021-06-15 00:00:00.000,371,3426,finished,5,
78,2021-06-17 00:00:00.000,3350,790,finished,3,
79,2021-06-18 00:00:00.000,56,3658,finished,7,
81,2021-06-19 00:00:00.000,2269,3128,finished,3,
83,2021-06-19 00:00:00.000,2480,673,finished,1,
84,2021-06-20 00:00:00.000,1483,1358,finished,3,
86,2021-06-23 00:00:00.000,4595,1202,finished,1,
88,2021-06-25 00:00:00.000,985,832,finished,2,
89,2021-06-26 00:00:00.000,3580,1709,finished,2,
90,2021-06-27 00:00:00.000,1492,3721,canceled,4,
91,2021-06-27 00:00:00.000,3040,2537,finished,5,
93,2021-06-29 00:00:00.000,3733,1525,finished,4,
94,2021-06-29 00:00:00.000,2166,992,finished,4,
96,2021-06-29 00:00:00.000,1132,2883,finished,6,
99,2021-06-30 00:00:00.000,2892,3793,finished,7,
100,2021-07-01 00:00:00.000,221,3658,finished,1,
101,2021-07-03 00:00:00.000,688,95,finished,6,
102,2021-07-04 00:00:00.000,1398,1952,finished,7,
103,2021-07-04 00:00:00.000,560,1297,finished,6,
104,2021-07-05 00:00:00.000,1526,1809,finished,5,
105,2021-07-05 00:00:00.000,2105,638,finished,7,
106,2021-07-06 00:00:00.000,355,4750,finished,1,
107,2021-07-06 00:00:00.000,1715,676,finished,5,
109,2021-07-07 00:00:00.000,1431,4641,canceled,6,
111,2021-07-08 00:00:00.000,3287,4374,canceled,6,
112,2021-07-08 00:00:00.000,1064,3805,finished,4,
113,2021-07-08 00:00:00.000,2134,3241,finished,1,
114,2021-07-10 00:00:00.000,4234,4466,finished,1,
117,2021-07-11 00:00:00.000,3547,1391,finished,4,
119,2021-07-12 00:00:00.000,179,2078,canceled,6,
120,2021-07-12 00:00:00.000,4863,1611,finished,6,
121,2021-07-13 00:00:00.000,3108,2855,finished,5,
122,2021-07-13 00:00:00.000,2195,1980,finished,6,
124,2021-07-14 00:00:00.000,2262,330,finished,3,
125,2021-07-15 00:00:00.000,2148,422,finished,1,
126,2021-07-16 00:00:00.000,1261,3128,finished,3,
127,2021-07-16 00:00:00.000,3530,2258,finished,4,
130,2021-07-17 00:00:00.000,4189,163,finished,2,
131,2021-07-17 00:00:00.000,47,22,finished,5,
132,2021-07-18 00:00:00.000,4910,3142,finished,7,
135,2021-07-20 00:00:00.000,1001,1329,canceled,6,
137,2021-07-21 00:00:00.000,3425,1675,finished,7,
138,2021-07-21 00:00:00.000,4150,4925,finished,6,
139,2021-07-21 00:00:00.000,1759,1455,canceled,6,
142,2021-07-23 00:00:00.000,27,247,finished,1,
143,2021-07-24 00:00:00.000,165,3360,finished,7,
147,2021-07-25 00:00:00.000,1544,2258,finished,4,
155,2021-07-30 00:00:00.000,4731,682,finished,2,
156,2021-07-30 00:00:00.000,2043,3151,canceled,5,
157,2021-07-31 00:00:00.000,1296,670,finished,6,
158,2021-07-31 00:00:00.000,4344,2937,canceled,1,
159,2021-07-31 00:00:00.000,4832,676,finished,1,
160,2021-08-01 00:00:00.000,1492,2349,finished,4,
162,2021-08-01 00:00:00.000,3787,4619,finished,1,
163,2021-08-01 00:00:00.000,4843,1488,finished,6,
168,2021-08-03 00:00:00.000,1291,1818,finished,2,
169,2021-08-04 00:00:00.000,371,605,finished,5,
172,2021-08-05 00:00:00.000,748,3273,finished,7,
173,2021-08-05 00:00:00.000,1914,4687,finished,6,
175,2021-08-05 00:00:00.000,3530,4040,finished,4,
176,2021-08-05 00:00:00.000,4221,4439,finished,4,
177,2021-08-05 00:00:00.000,4503,4389,finished,1,
180,2021-08-07 00:00:00.000,3322,4768,finished,1,
181,2021-08-08 00:00:00.000,1233,1424,finished,3,
182,2021-08-08 00:00:00.000,3029,2762,finished,5,
184,2021-08-09 00:00:00.000,1872,2676,finished,1,
186,2021-08-09 00:00:00.000,27,1675,finished,1,
187,2021-08-10 00:00:00.000,4412,3037,finished,3,
188,2021-08-10 00:00:00.000,3257,4925,finished,5,
189,2021-08-10 00:00:00.000,3097,2812,finished,6,
190,2021-08-10 00:00:00.000,2330,3841,finished,2,
