"user_id","reg_date","role","region_id"
1,2021-04-22 00:00:00.000,mentee,7
5,2021-12-25 00:00:00.000,mentee,1
6,2021-01-28 00:00:00.000,mentee,2
8,2022-09-12 00:00:00.000,mentee,6
10,2021-06-16 00:00:00.000,mentee,1
12,2022-08-18 00:00:00.000,mentee,1
13,2022-01-22 00:00:00.000,mentee,3
14,2022-03-09 00:00:00.000,mentee,7
17,2022-08-21 00:00:00.000,mentee,1
18,2021-12-29 00:00:00.000,mentee,1
20,2021-02-02 00:00:00.000,mentee,1
22,2021-05-22 00:00:00.000,mentee,0
24,2021-12-12 00:00:00.000,mentee,6
32,2022-09-09 00:00:00.000,mentee,1
34,2022-03-27 00:00:00.000,mentee,4
35,2022-02-04 00:00:00.000,mentee,1
36,2022-05-16 00:00:00.000,mentee,1
41,2021-01-25 00:00:00.000,mentee,1
44,2021-09-16 00:00:00.000,mentee,7
45,2021-05-17 00:00:00.000,mentee,7
46,2022-04-05 00:00:00.000,mentee,2
48,2021-11-14 00:00:00.000,mentee,1
50,2021-06-20 00:00:00.000,mentee,4
51,2022-05-23 00:00:00.000,mentee,1
52,2021-09-23 00:00:00.000,mentee,8
57,2021-08-01 00:00:00.000,mentee,9
59,2021-03-29 00:00:00.000,mentee,6
60,2021-06-25 00:00:00.000,mentee,8
61,2022-06-04 00:00:00.000,mentee,4
63,2022-02-06 00:00:00.000,mentee,8
65,2022-06-29 00:00:00.000,mentee,2
70,2021-01-22 00:00:00.000,mentee,1
71,2021-11-17 00:00:00.000,mentee,2
72,2021-09-01 00:00:00.000,mentee,5
74,2021-04-17 00:00:00.000,mentee,1
76,2022-05-07 00:00:00.000,mentee,7
77,2022-03-28 00:00:00.000,mentee,6
79,2021-09-27 00:00:00.000,mentee,0
80,2021-03-16 00:00:00.000,mentee,3
81,2021-09-04 00:00:00.000,mentee,1
86,2022-08-15 00:00:00.000,mentee,1
87,2021-04-24 00:00:00.000,mentee,1
89,2022-06-15 00:00:00.000,mentee,6
93,2022-06-02 00:00:00.000,mentee,3
95,2021-05-04 00:00:00.000,mentee,1
97,2021-01-23 00:00:00.000,mentee,4
99,2021-07-27 00:00:00.000,mentee,1
100,2021-09-01 00:00:00.000,mentee,1
102,2021-06-26 00:00:00.000,mentee,4
106,2022-06-17 00:00:00.000,mentee,4
107,2021-02-01 00:00:00.000,mentee,1
108,2021-11-07 00:00:00.000,mentee,1
109,2022-08-22 00:00:00.000,mentee,1
111,2022-08-03 00:00:00.000,mentee,4
115,2022-05-31 00:00:00.000,mentee,0
118,2021-02-04 00:00:00.000,mentee,7
121,2022-07-30 00:00:00.000,mentee,1
124,2021-07-08 00:00:00.000,mentee,1
125,2021-10-06 00:00:00.000,mentee,6
126,2022-01-24 00:00:00.000,mentee,5
130,2022-01-23 00:00:00.000,mentee,6
131,2021-03-19 00:00:00.000,mentee,1
132,2021-01-13 00:00:00.000,mentee,1
137,2022-04-03 00:00:00.000,mentee,1
139,2021-01-12 00:00:00.000,mentee,1
141,2021-10-31 00:00:00.000,mentee,7
142,2022-01-26 00:00:00.000,mentee,3
143,2021-11-16 00:00:00.000,mentee,1
144,2022-04-16 00:00:00.000,mentee,1
145,2022-01-26 00:00:00.000,mentee,2
146,2021-09-10 00:00:00.000,mentee,2
147,2022-01-05 00:00:00.000,mentee,1
148,2021-01-18 00:00:00.000,mentee,6
